date,n_pdc,n_pdc_robust,n_pdc_combined
2023-07-21,32383,,
2023-07-22,32390,,
2023-07-23,32390,,
2023-07-24,32419,,
2023-07-25,32490,,
2023-07-26,32490,,
2023-07-27,32616,,
2023-07-28,32633,,
2023-07-29,29734,,
2023-07-30,41638,,
2023-07-31,41638,,
2023-08-01,41608,,
2023-08-02,41667,,
2023-08-03,41672,,
2023-08-04,41631,,
2023-08-05,41689,,
2023-08-06,41827,,
2023-08-07,41827,,
2023-08-08,41827,,
2023-08-09,41864,,
2023-08-10,38554,,
2023-08-11,41842,,
2023-08-12,38716,,
2023-08-13,41885,,
2023-08-14,41885,,
2023-08-15,41865,,
2023-08-16,41899,,
2023-08-17,41911,,
2023-08-18,37308,,
2023-08-19,37314,,
2023-08-20,37312,,
2023-08-21,37312,,
2023-08-22,37318,,
2023-08-23,37318,,
2023-08-24,37318,,
2023-08-25,37318,,
2023-08-26,37327,,
2023-08-27,37327,,
2023-08-28,37327,,
2023-08-29,37327,,
2023-08-30,37327,,
2023-08-31,37339,,
2023-09-01,43433,43433,
2023-09-02,43433,43433,
2023-09-03,43368,43433,
2023-09-04,43392,43433,
2023-09-05,43394,43433,
2023-09-06,41685,43433,
2023-09-07,55169,55169,
2023-09-08,49701,55169,
2023-09-09,49701,55169,
2023-09-10,49701,55169,
2023-09-11,49701,55169,
2023-09-12,55684,55684,
2023-09-13,55505,55684,
2023-09-14,58075,58075,
2023-09-15,58003,58075,
2023-09-16,58054,58075,
2023-09-17,58146,58146,
2023-09-18,58156,58156,
2023-09-19,58156,58156,
2023-09-20,58285,58285,
2023-09-21,58275,58285,
2023-09-22,58419,58419,
2023-09-23,58423,58423,
2023-09-24,58462,58462,
2023-09-25,58462,58462,
2023-09-26,62304,62304,
2023-09-27,62304,62304,
2023-09-28,61754,62304,
2023-09-29,62424,62424,
2023-09-30,62433,62433,
2023-10-01,62826,62826,
2023-10-02,62820,62826,
2023-10-03,62834,62834,
2023-10-04,62856,62856,
2023-10-05,58237,62856,
2023-10-06,58312,62856,
2023-10-07,58371,62856,
2023-10-08,58373,62856,
2023-10-09,58341,62856,
2023-10-10,58341,62856,
2023-10-11,58383,62856,
2023-10-12,58354,62856,
2023-10-13,58436,62856,
2023-10-14,58456,62856,
2023-10-15,58493,62856,
2023-10-16,56198,62856,
2023-10-17,56830,62856,
2023-10-18,56678,62856,
2023-10-19,53910,62856,
2023-10-20,53274,62856,
2023-10-21,53817,62856,
2023-10-22,53825,62856,
2023-10-23,53795,62856,
2023-10-24,53795,62856,
2023-10-25,48732,62856,
2023-10-26,53815,62856,
2023-10-27,53678,62856,
2023-10-28,44469,62856,
2023-10-29,56324,62856,
2023-10-30,55711,62856,
2023-10-31,56379,62856,
2023-11-01,56100,62856,
2023-11-02,56049,62856,
2023-11-03,56049,62856,
2023-11-04,56114,62856,
2023-11-05,56114,62856,
2023-11-06,56114,62856,
2023-11-07,56114,62856,
2023-11-08,56061,62856,
2023-11-09,55639,62856,
2023-11-10,55672,62856,
2023-11-11,55672,62856,
2023-11-12,56266,62856,
2023-11-13,56266,62856,
2023-11-14,60124,62856,
2023-11-15,60676,62856,
2023-11-16,62324,62856,
2023-11-17,57938,62856,
2023-11-18,56350,62856,
2023-11-19,56612,62856,
2023-11-20,56612,62856,
2023-11-21,56612,62856,
2023-11-22,59874,62856,
2023-11-23,60235,62856,
2023-11-24,50679,62856,
2023-11-25,53614,62856,
